| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 65: "Address: `wp-themes/`" — relative path, so this line was used; `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` exists (test -d returned true). |
| 1 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 71 is "Address: none. No copy of this folder exists off this machine.", not a relative path, so line 72 was used: "Local path: `~/Projects/Development/wordpress-7`" — resolved to `/home/kostritsaalex/Projects/Development/wordpress-7`, which exists (test -d returned true). |
| 2 | WP Themes | pass | Listed root of wp-themes: `.vscode`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore` — both stubs present. |
| 2 | WordPress 7 Engine | pass | Listed root of `/home/kostritsaalex/Projects/Development/wordpress-7`: `.ddev`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content`, `wp-cron.php`, `wp-includes`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php` — both stubs present. |
| 3 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 62: "## WP Themes"; AGENTS.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project."; CLAUDE.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 67: "## WordPress 7 Engine"; AGENTS.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project."; CLAUDE.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4 | WP Themes | pass | AGENTS.md (wp-themes) line 11: "../"; CLAUDE.md (wp-themes) line 11: "../" — relative, resolved from `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7`, which is this folder. |
| 4 | WordPress 7 Engine | pass | AGENTS.md (wordpress-7) line 12: "OneDrive, Projects/Development/WordPress-7"; CLAUDE.md (wordpress-7) line 12: "OneDrive, Projects/Development/WordPress-7"; compared character for character against PROJECT.md (WordPress-7 root) line 39: "OneDrive, Projects/Development/WordPress-7" — identical. |
| 5 | WP Themes | n/a | Neither AGENTS.md nor CLAUDE.md (wp-themes) names REPOSITORY.md or ASSETS.md, and the wp-themes root listing (`.vscode`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore`) contains neither file. |
| 5 | WordPress 7 Engine | n/a | Neither AGENTS.md nor CLAUDE.md (wordpress-7) names REPOSITORY.md or ASSETS.md, and the wordpress-7 root listing contains neither file. |
| 6 | WP Themes | pass | Tested the single path `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes/PROJECT.md`: does not exist. |
| 6 | WordPress 7 Engine | pass | Tested the single path `/home/kostritsaalex/Projects/Development/wordpress-7/PROJECT.md`: does not exist. |
| 7 | (read set) | pass | Folders opened: (a) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7` — this scope's own root, in the read set by the first instruction, no registry line needed; (b) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` — named by the registry, PROJECT.md (WordPress-7 root) line 65: "Address: `wp-themes/`"; (c) `/home/kostritsaalex/Projects/Development/wordpress-7` — named by the registry, PROJECT.md (WordPress-7 root) line 72: "Local path: `~/Projects/Development/wordpress-7`". No folder in the third class. |

Failed rows: 0
