| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 65: "Address: `wp-themes/`" — relative path, resolved to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes`; folder is there. |
| 1 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 71 is "Address: none. No copy of this folder exists off this machine." — not a relative path, so used line 72: "Local path: `~/Projects/Development/wordpress-7`", resolved to `/home/kostritsaalex/Projects/Development/wordpress-7`; folder is there. |
| 2 | WP Themes | pass | Listed root of wp-themes: `.vscode`, `AGENTS.md`, `CLAUDE.md`, `homecare-of-baltimore`. Both stubs present. |
| 2 | WordPress 7 Engine | pass | Listed root of ~/Projects/Development/wordpress-7: `.ddev`, `.editorconfig`, `.gitattributes`, `.gitignore`, `.vscode`, `AGENTS.md`, `CLAUDE.md`, `composer.json`, `index.php`, `license.txt`, `readme.html`, `wp-activate.php`, `wp-admin`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config-sample.php`, `wp-config.php`, `wp-content`, `wp-cron.php`, `wp-includes`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`. Both stubs present. |
| 3 | WP Themes | pass | Heading — PROJECT.md (WordPress-7 root) line 62: "## WP Themes". AGENTS.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." CLAUDE.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3 | WordPress 7 Engine | pass | Heading — PROJECT.md (WordPress-7 root) line 67: "## WordPress 7 Engine". AGENTS.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." CLAUDE.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4 | WP Themes | pass | AGENTS.md (wp-themes) line 11: "../" and CLAUDE.md (wp-themes) line 11: "../" — resolved from `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` to `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7`, which is this folder. |
| 4 | WordPress 7 Engine | fail | AGENTS.md (wordpress-7) line 12: "OneDrive, Projects/Archive/WordPress-7"; CLAUDE.md (wordpress-7) line 12: "OneDrive, Projects/Archive/WordPress-7"; PROJECT.md (WordPress-7 root) line 39: "OneDrive, Projects/Development/WordPress-7" — texts differ (`Archive` vs `Development`). |
| 5 | WP Themes | n/a | Neither stub names REPOSITORY.md or ASSETS.md, and the wp-themes root listing contains neither file. |
| 5 | WordPress 7 Engine | n/a | Neither stub names REPOSITORY.md or ASSETS.md, and the wordpress-7 root listing contains neither file. |
| 6 | WP Themes | pass | Tested `wp-themes/PROJECT.md`: not found. |
| 6 | WordPress 7 Engine | pass | Tested `~/Projects/Development/wordpress-7/PROJECT.md`: not found. |
| 7 | (read set) | pass | Folders opened: (a) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7` — this scope's own root, in the read set by the first instruction, no registry line needed; (b) `/mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes` — named by the registry, PROJECT.md line 65: "Address: `wp-themes/`"; (c) `/home/kostritsaalex/Projects/Development/wordpress-7` — named by the registry, PROJECT.md line 72: "Local path: `~/Projects/Development/wordpress-7`". No folder in the third class. |

Failed rows: 1
