| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 65: "Address: `wp-themes/`" — relative path, resolved from /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7 to /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes; folder is there. |
| 1 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 71: "Address: none. No copy of this folder exists off this machine." — not a relative path, so used line 72: "Local path: `~/Projects/Development/wordpress-7`", resolved to /home/kostritsaalex/Projects/Development/wordpress-7; folder is there. |
| 2 | WP Themes | pass | Listed the root of wp-themes: .vscode, AGENTS.md, CLAUDE.md, homecare-of-baltimore. Both stubs present. |
| 2 | WordPress 7 Engine | pass | Listed the root of /home/kostritsaalex/Projects/Development/wordpress-7: .ddev, .editorconfig, .gitattributes, .gitignore, .vscode, AGENTS.md, CLAUDE.md, composer.json, index.php, license.txt, readme.html, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config-sample.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php. Both stubs present. |
| 3 | WP Themes | pass | PROJECT.md (WordPress-7 root) line 62: "## WP Themes"; AGENTS.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project."; CLAUDE.md (wp-themes) line 3: "This folder is the `WP Themes` component of the WordPress 7 project." |
| 3 | WordPress 7 Engine | pass | PROJECT.md (WordPress-7 root) line 67: "## WordPress 7 Engine"; AGENTS.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project."; CLAUDE.md (wordpress-7) line 3: "This folder is the `WordPress 7 Engine` component of the WordPress 7 project." |
| 4 | WP Themes | pass | AGENTS.md (wp-themes) line 11: "../"; CLAUDE.md (wp-themes) line 11: "../". Resolved from /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes to /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7, which is this folder. |
| 4 | WordPress 7 Engine | pass | AGENTS.md (wordpress-7) line 12: "OneDrive, Projects/Development/WordPress-7"; CLAUDE.md (wordpress-7) line 12: "OneDrive, Projects/Development/WordPress-7"; PROJECT.md (WordPress-7 root) line 39: "OneDrive, Projects/Development/WordPress-7". Compared character for character; identical. |
| 5 | WP Themes | fail | Both stubs name REPOSITORY.md — AGENTS.md (wp-themes) line 16: "This folder also sets rules of its own. Read `REPOSITORY.md` as well."; CLAUDE.md (wp-themes) line 16: "This folder also sets rules of its own. Read `REPOSITORY.md` as well." Missing half: the file. Tested wp-themes/REPOSITORY.md — does not exist. |
| 5 | WordPress 7 Engine | n/a | Neither stub names REPOSITORY.md or ASSETS.md (AGENTS.md and CLAUDE.md in wordpress-7 end at line 17: "If you cannot reach it, say so and stop. Do not proceed on guesses."), and the root listing of /home/kostritsaalex/Projects/Development/wordpress-7 contains no REPOSITORY.md or ASSETS.md. |
| 6 | WP Themes | pass | Tested the single path wp-themes/PROJECT.md — does not exist. |
| 6 | WordPress 7 Engine | pass | Tested the single path /home/kostritsaalex/Projects/Development/wordpress-7/PROJECT.md — does not exist. |
| 7 | (read set) | pass | Folders opened: (a) /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7 — this scope's own root, in the read set by the first instruction, no registry line needed; (b) /mnt/c/Users/kostr/OneDrive/Projects/Development/WordPress-7/wp-themes — a folder the registry named, PROJECT.md (WordPress-7 root) line 65: "Address: `wp-themes/`"; (c) /home/kostritsaalex/Projects/Development/wordpress-7 — a folder the registry named, PROJECT.md (WordPress-7 root) line 72: "Local path: `~/Projects/Development/wordpress-7`". No folder in the third class. |

Failed rows: 1
