| Check | Component | Result | Evidence |
|---|---|---|---|
| 1. Folder exists where registry says | Artglina UA | pass | Address is a URL, so located by the local path line: PROJECT.md (/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina) line 63: "Local path: `~/Projects/All/artglina-ua`" — resolved to /home/kostritsaalex/Projects/All/artglina-ua; `ls -la /home/kostritsaalex/Projects/All/artglina-ua` listed the folder, so it is there. |
| 1. Folder exists where registry says | Artglina Sandbox | pass | Address is a URL, so located by the local path line: PROJECT.md (/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina) line 70: "Local path: `~/Projects/Development/artglina-sandbox`" — resolved to /home/kostritsaalex/Projects/Development/artglina-sandbox; `ls -la /home/kostritsaalex/Projects/Development/artglina-sandbox` listed the folder, so it is there. |
| 2. Both stubs present | Artglina UA | n/a | `ls -la /home/kostritsaalex/Projects/All/artglina-ua` returned: .claude, .ddev, .editorconfig, .git, .gitattributes, .gitignore, .vscode, .well-known, aios-bootstrap.php, composer.json, composer.lock, favicon.ico, googled63a258301ee1d03.html, index.php, malcare-waf.php, vendor, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php — neither AGENTS.md nor CLAUDE.md. Declared, not attached. |
| 2. Both stubs present | Artglina Sandbox | n/a | `ls -la /home/kostritsaalex/Projects/Development/artglina-sandbox` returned: .claude, .ddev, .editorconfig, .git, .gitattributes, .gitignore, .vscode, .well-known, aios-bootstrap.php, composer.json, composer.lock, favicon.ico, googled63a258301ee1d03.html, index.php, malcare-waf.php, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php, and one directory with an unprintable name — neither AGENTS.md nor CLAUDE.md. Declared, not attached. |
| 3. Stubs name the component, matching heading | Artglina UA | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 3. Stubs name the component, matching heading | Artglina Sandbox | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 4. Stubs give parent address pointing at this scope | Artglina UA | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 4. Stubs give parent address pointing at this scope | Artglina Sandbox | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 5. Overrides agree in both directions | Artglina UA | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 5. Overrides agree in both directions | Artglina Sandbox | n/a | No stubs present (check 2 outcome: declared, not attached). |
| 6. No PROJECT.md in component folder | Artglina UA | pass | `test -e /home/kostritsaalex/Projects/All/artglina-ua/PROJECT.md` returned ABSENT. |
| 6. No PROJECT.md in component folder | Artglina Sandbox | pass | `test -e /home/kostritsaalex/Projects/Development/artglina-sandbox/PROJECT.md` returned ABSENT. |
| 7. Read set audit | (read set) | pass | Folders opened: (a) /mnt/c/Users/kostr/OneDrive/Projects/All/Artglina — this scope's own root, no registry line needed; (b) /home/kostritsaalex/Projects/All/artglina-ua — named by the registry, PROJECT.md line 63: "Local path: `~/Projects/All/artglina-ua`"; (c) /home/kostritsaalex/Projects/Development/artglina-sandbox — named by the registry, PROJECT.md line 70: "Local path: `~/Projects/Development/artglina-sandbox`". No folder in the third class. |

Failed rows: 0
