| Check | Component | Result | Evidence |
|---|---|---|---|
| 1. Folder exists | Artglina UA | pass | Address on PROJECT.md (`/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina`) line 62 is a URL, so located by the local path line beneath it — PROJECT.md line 63: ``Local path: `~/Projects/All/artglina-ua` ``. Resolved to `/home/kostritsaalex/Projects/All/artglina-ua`. `ls -la` on that one path returned a directory listing: the folder is there. |
| 1. Folder exists | Artglina Sandbox | pass | Address on PROJECT.md line 69 is a URL, so located by the local path line beneath it — PROJECT.md line 70: ``Local path: `~/Projects/Development/artglina-sandbox` ``. Resolved to `/home/kostritsaalex/Projects/Development/artglina-sandbox`. `ls -la` on that one path returned a directory listing: the folder is there. |
| 2. Both stubs present | Artglina UA | n/a | Listed the root of `/home/kostritsaalex/Projects/All/artglina-ua`: `.claude`, `.ddev`, `.editorconfig`, `.git`, `.gitattributes`, `.gitignore`, `.vscode`, `.well-known`, `aios-bootstrap.php`, `composer.json`, `composer.lock`, `favicon.ico`, `googled63a258301ee1d03.html`, `index.php`, `malcare-waf.php`, `vendor`, `wp-activate.php`, `wp-admin`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config.php`, `wp-content`, `wp-cron.php`, `wp-includes`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`. Neither AGENTS.md nor CLAUDE.md present: declared, not attached. |
| 2. Both stubs present | Artglina Sandbox | n/a | Listed the root of `/home/kostritsaalex/Projects/Development/artglina-sandbox`: `.claude`, `.ddev`, `.editorconfig`, `.git`, `.gitattributes`, `.gitignore`, `.vscode`, `.well-known`, `aios-bootstrap.php`, `composer.json`, `composer.lock`, `favicon.ico`, `googled63a258301ee1d03.html`, `index.php`, `malcare-waf.php`, `wp-activate.php`, `wp-admin`, `wp-blog-header.php`, `wp-comments-post.php`, `wp-config-ddev.php`, `wp-config.php`, `wp-content`, `wp-cron.php`, `wp-includes`, `wp-links-opml.php`, `wp-load.php`, `wp-login.php`, `wp-mail.php`, `wp-settings.php`, `wp-signup.php`, `wp-trackback.php`, `xmlrpc.php`, and one directory whose name is not valid UTF-8. Neither AGENTS.md nor CLAUDE.md present: declared, not attached. |
| 3. Stubs name the component | Artglina UA | n/a | Check 2 returned n/a: no stubs in the folder to read a naming line from. |
| 3. Stubs name the component | Artglina Sandbox | n/a | Check 2 returned n/a: no stubs in the folder to read a naming line from. |
| 4. Parent address points here | Artglina UA | n/a | Check 2 returned n/a: no stubs in the folder to read an address from. |
| 4. Parent address points here | Artglina Sandbox | n/a | Check 2 returned n/a: no stubs in the folder to read an address from. |
| 5. Overrides agree both ways | Artglina UA | n/a | Check 2 returned n/a: no stubs in the folder to name an override file. |
| 5. Overrides agree both ways | Artglina Sandbox | n/a | Check 2 returned n/a: no stubs in the folder to name an override file. |
| 6. No PROJECT.md in component | Artglina UA | pass | Tested the single path `/home/kostritsaalex/Projects/All/artglina-ua/PROJECT.md`; returned "ABSENT: no such path". |
| 6. No PROJECT.md in component | Artglina Sandbox | pass | Tested the single path `/home/kostritsaalex/Projects/Development/artglina-sandbox/PROJECT.md`; returned "ABSENT: no such path". |
| 7. Read set | (read set) | pass | Folders opened, all of them: (a) `/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina` — this scope's own root, in the read set by the first instruction, no registry line needed; (b) `/home/kostritsaalex/Projects/All/artglina-ua` — a folder the registry named, PROJECT.md line 63: ``Local path: `~/Projects/All/artglina-ua` ``; (c) `/home/kostritsaalex/Projects/Development/artglina-sandbox` — a folder the registry named, PROJECT.md line 70: ``Local path: `~/Projects/Development/artglina-sandbox` ``. Fourth class, the check's own instructions: no file at all — the check reached me as text inline in the user message, not as a path or attachment, so no instructions file was read and no folder was opened for one. No folder in the third class (neither). |

Failed rows: 0
