| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | Artglina UA | pass | Address is a URL, so located by the local path line: PROJECT.md (/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina), line 63: "Local path: `~/Projects/All/artglina-ua`". Resolved to /home/kostritsaalex/Projects/All/artglina-ua; `test -d` on that one path returned "folder present". |
| 1 | Artglina Sandbox | pass | Address is a URL, so located by the local path line: PROJECT.md (/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina), line 70: "Local path: `~/Projects/Development/artglina-sandbox`". Resolved to /home/kostritsaalex/Projects/Development/artglina-sandbox; `test -d` on that one path returned "folder present". |
| 2 | Artglina UA | n/a | Declared, not attached: neither stub present. Root-level filenames in /home/kostritsaalex/Projects/All/artglina-ua: .claude, .ddev, .editorconfig, .git, .gitattributes, .gitignore, .vscode, .well-known, aios-bootstrap.php, composer.json, composer.lock, favicon.ico, googled63a258301ee1d03.html, index.php, malcare-waf.php, vendor, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php — no AGENTS.md, no CLAUDE.md. |
| 2 | Artglina Sandbox | n/a | Declared, not attached: neither stub present. Root-level filenames in /home/kostritsaalex/Projects/Development/artglina-sandbox: .claude, .ddev, .editorconfig, .git, .gitattributes, .gitignore, .vscode, .well-known, aios-bootstrap.php, composer.json, composer.lock, favicon.ico, googled63a258301ee1d03.html, index.php, malcare-waf.php, wp-activate.php, wp-admin, wp-blog-header.php, wp-comments-post.php, wp-config-ddev.php, wp-config.php, wp-content, wp-cron.php, wp-includes, wp-links-opml.php, wp-load.php, wp-login.php, wp-mail.php, wp-settings.php, wp-signup.php, wp-trackback.php, xmlrpc.php, "\uFFFD." — no AGENTS.md, no CLAUDE.md. |
| 3 | Artglina UA | n/a | Row 2 returned declared, not attached: no stub to read. |
| 3 | Artglina Sandbox | n/a | Row 2 returned declared, not attached: no stub to read. |
| 4 | Artglina UA | n/a | Row 2 returned declared, not attached: no stub to read. |
| 4 | Artglina Sandbox | n/a | Row 2 returned declared, not attached: no stub to read. |
| 5 | Artglina UA | n/a | Row 2 returned declared, not attached: no stub to name an override. |
| 5 | Artglina Sandbox | n/a | Row 2 returned declared, not attached: no stub to name an override. |
| 6 | Artglina UA | pass | `test -e /home/kostritsaalex/Projects/All/artglina-ua/PROJECT.md` returned "PROJECT.md not present". |
| 6 | Artglina Sandbox | pass | `test -e /home/kostritsaalex/Projects/Development/artglina-sandbox/PROJECT.md` returned "PROJECT.md not present". |
| 7 | (read set) | pass | Folders opened, all of them: (a) /mnt/c/Users/kostr/OneDrive/Projects/All/Artglina — this scope's own root, in the read set by the first instruction, no registry line needed. (b) /home/kostritsaalex/Projects/All/artglina-ua — a folder the registry named, PROJECT.md line 63: "Local path: `~/Projects/All/artglina-ua`". (c) /home/kostritsaalex/Projects/Development/artglina-sandbox — a folder the registry named, PROJECT.md line 70: "Local path: `~/Projects/Development/artglina-sandbox`". (d) /home/kostritsaalex/Projects/Frameworks/ai-project-template/blueprints/checks/registry-check.md — the check's own instructions, given as a path rather than text; fourth class, exempt, a pass. None in the class "neither". |

Failed rows: 0
