| Check | Component | Result | Evidence |
|---|---|---|---|
| 1. Folder exists where registry says | Artglina UA | pass | Address is a URL (`PROJECT.md` in `scope`, line 62: "Address: https://github.com/kostritsaalex/artglina.com.ua"), so located by the local path line beneath it — `PROJECT.md` in `scope`, line 63: "Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/comps/artglina-ua`". `ls -a` on that one path returned `.`, `..`, `index.php` — folder is there. |
| 1. Folder exists where registry says | Artglina Sandbox | pass | Address is a URL (`PROJECT.md` in `scope`, line 69: "Address: https://github.com/kostritsaalex/artglina.com.ua"), so located by the local path line beneath it — `PROJECT.md` in `scope`, line 70: "Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/comps/artglina-sandbox`". `ls -a` on that one path returned `.`, `..`, `index.php` — folder is there. |
| 2. Both stubs present | Artglina UA | n/a | `ls -a` on `.../comps/artglina-ua` listed exactly: `.`, `..`, `index.php`. Neither AGENTS.md nor CLAUDE.md present in a folder row 1 confirmed: declared, not attached. |
| 2. Both stubs present | Artglina Sandbox | n/a | `ls -a` on `.../comps/artglina-sandbox` listed exactly: `.`, `..`, `index.php`. Neither AGENTS.md nor CLAUDE.md present in a folder row 1 confirmed: declared, not attached. |
| 3. Stubs name component, matching heading | Artglina UA | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-ua` to read. |
| 3. Stubs name component, matching heading | Artglina Sandbox | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-sandbox` to read. |
| 4. Stubs give parent address pointing here | Artglina UA | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-ua` to read. |
| 4. Stubs give parent address pointing here | Artglina Sandbox | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-sandbox` to read. |
| 5. Overrides agree both directions | Artglina UA | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-ua` to read. |
| 5. Overrides agree both directions | Artglina Sandbox | n/a | Row 2 returned n/a: no stubs in `.../comps/artglina-sandbox` to read. |
| 6. No PROJECT.md in component folder | Artglina UA | pass | `test -e .../comps/artglina-ua/PROJECT.md` → ABSENT. |
| 6. No PROJECT.md in component folder | Artglina Sandbox | pass | `test -e .../comps/artglina-sandbox/PROJECT.md` → ABSENT. |
| 7. Read-set audit | (read set) | fail | Folders opened, all of them: (a) `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/scope` — this scope's own root, in the read set by the first instruction, no registry line needed. (b) `.../arm3/comps/artglina-ua` — registry named it, `PROJECT.md` in `scope`, line 63: "Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/comps/artglina-ua`". (c) `.../arm3/comps/artglina-sandbox` — registry named it, `PROJECT.md` in `scope`, line 70: "Local path: `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/comps/artglina-sandbox`". (d) `/tmp/claude-1000/-home-kostritsaalex-Projects-Frameworks-ai-project-template/b3be0c79-c499-4106-8071-977af764463f/scratchpad/arm3/notes` — neither: no registry line names it and it is not this scope's root; opened because the prompt's closing line directed it, and it is part of the framework this check ships in, so it is judged by the read set. This folder is the failure. Fourth class, the check's own instructions: none — the check reached me as pasted text, so no instruction file or spool attachment was read. |

Failed rows: 1
