| Check | Component | Result | Evidence |
|---|---|---|---|
| 1 | Artglina UA | pass | Address is a URL, so located by the local path line: `PROJECT.md` (Artglina, scope root) line 63: ``Local path: `~/Projects/All/artglina-ua` ``. Probed that one path: `test -d ~/Projects/All/artglina-ua` → `DIR EXISTS`, resolved to `/home/kostritsaalex/Projects/All/artglina-ua`. |
| 1 | Artglina Sandbox | pass | Address is a URL, so located by the local path line: `PROJECT.md` (Artglina, scope root) line 70: ``Local path: `~/Projects/Development/artglina-sandbox` ``. Probed that one path: `test -d ~/Projects/Development/artglina-sandbox` → `DIR EXISTS`, resolved to `/home/kostritsaalex/Projects/Development/artglina-sandbox`. |
| 2 | Artglina UA | pass | `ls -a ~/Projects/All/artglina-ua` listed root-level entries: `.claude .ddev .editorconfig .git .gitattributes .gitignore .vscode .well-known AGENTS.md CLAUDE.md aios-bootstrap.php composer.json composer.lock favicon.ico googled63a258301ee1d03.html index.php malcare-waf.php vendor wp-activate.php wp-admin wp-blog-header.php wp-comments-post.php wp-config-ddev.php wp-config.php wp-content wp-cron.php wp-includes wp-links-opml.php wp-load.php wp-login.php wp-mail.php wp-settings.php wp-signup.php wp-trackback.php xmlrpc.php`. Both `AGENTS.md` and `CLAUDE.md` present. |
| 2 | Artglina Sandbox | pass | `ls -a ~/Projects/Development/artglina-sandbox` listed root-level entries: `.claude .ddev .editorconfig .git .gitattributes .gitignore .vscode .well-known AGENTS.md CLAUDE.md aios-bootstrap.php composer.json composer.lock favicon.ico googled63a258301ee1d03.html index.php malcare-waf.php wp-activate.php wp-admin wp-blog-header.php wp-comments-post.php wp-config-ddev.php wp-config.php wp-content wp-cron.php wp-includes wp-links-opml.php wp-load.php wp-login.php wp-mail.php wp-settings.php wp-signup.php wp-trackback.php xmlrpc.php` (plus one entry with an undecodable name). Both `AGENTS.md` and `CLAUDE.md` present. |
| 3 | Artglina UA | pass | Registry heading: `PROJECT.md` (Artglina, scope root) line 58: `## Artglina UA`. `AGENTS.md` (artglina-ua) line 3: ``This folder is the `Artglina UA` component of the Artglina project.``. `CLAUDE.md` (artglina-ua) line 3: ``This folder is the `Artglina UA` component of the Artglina project.``. Exact match. |
| 3 | Artglina Sandbox | pass | Registry heading: `PROJECT.md` (Artglina, scope root) line 65: `## Artglina Sandbox`. `AGENTS.md` (artglina-sandbox) line 3: ``This folder is the `Artglina Sandbox` component of the Artglina project.``. `CLAUDE.md` (artglina-sandbox) line 3: ``This folder is the `Artglina Sandbox` component of the Artglina project.``. Exact match. |
| 4 | Artglina UA | pass | Stub address is a synced-store location, not relative, so compared as text. `PROJECT.md` (Artglina, scope root) line 35 under "Where this project lives" Address: `OneDrive, Projects/All/Artglina`. `AGENTS.md` (artglina-ua) line 12: `OneDrive, Projects/All/Artglina`. `CLAUDE.md` (artglina-ua) line 12: `OneDrive, Projects/All/Artglina`. Character-for-character identical. |
| 4 | Artglina Sandbox | pass | `PROJECT.md` (Artglina, scope root) line 35 under "Where this project lives" Address: `OneDrive, Projects/All/Artglina`. `AGENTS.md` (artglina-sandbox) line 12: `OneDrive, Projects/All/Artglina`. `CLAUDE.md` (artglina-sandbox) line 12: `OneDrive, Projects/All/Artglina`. Character-for-character identical. |
| 5 | Artglina UA | n/a | Neither stub names `REPOSITORY.md` or `ASSETS.md` (17 lines each, read in full; no such string), and neither file appears in the root listing from check 2. No override on either side. |
| 5 | Artglina Sandbox | n/a | Neither stub names `REPOSITORY.md` or `ASSETS.md` (17 lines each, read in full; no such string), and neither file appears in the root listing from check 2. No override on either side. |
| 6 | Artglina UA | pass | `test -e ~/Projects/All/artglina-ua/PROJECT.md` → `ABSENT: no PROJECT.md at ~/Projects/All/artglina-ua/PROJECT.md`. |
| 6 | Artglina Sandbox | pass | `test -e ~/Projects/Development/artglina-sandbox/PROJECT.md` → `ABSENT: no PROJECT.md at ~/Projects/Development/artglina-sandbox/PROJECT.md`. |
| 7 | (read set) | pass | Folders opened, all of them: (a) `/mnt/c/Users/kostr/OneDrive/Projects/All/Artglina` — this scope's own root, in the read set by the first instruction, no registry line needed. (b) `/home/kostritsaalex/Projects/All/artglina-ua` — registry named, `PROJECT.md` line 63: ``Local path: `~/Projects/All/artglina-ua` ``. (c) `/home/kostritsaalex/Projects/Development/artglina-sandbox` — registry named, `PROJECT.md` line 70: ``Local path: `~/Projects/Development/artglina-sandbox` ``. (d) The check's own instructions: no folder was opened for them — the prompt text arrived pasted inline in the user's message, with no file path given and no attachment or spool file written; the fourth class is therefore present but empty of folders. No folder in the "neither" class. |

Failed rows: 0
